aeroporto,slug,titulo,cliques_16m,cluster,decisao,url_dona,responsavel,status,observacao
VCP,estacionamento-aeroporto-viracopos-como-reservar-antecipadamente-e-garantir-sua-vaga,Estacionamento Aeroporto Viracopos: Como Reservar Antecipadamente e Garantir sua Vaga,14,"reserva, como funciona",manter,,Léo,definido em 28/08/2026 (revisão do Diego pendente),Dona de reserva. O título precisa sair da promessa 'garantir sua vaga' (ADR-009); o slug fica.
VCP,garanta-desconto-no-estacionamento-do-aeroporto-viracopos-com-a-movepark,Garanta desconto no Estacionamento do Aeroporto Viracopos com a Movepark,11,"barato, economia, desconto",absorver,/blog/como-pagar-mais-barato-no-estacionamento-do-aeroporto-viracopos-em-2024/,Léo,definido em 28/08/2026 (revisão do Diego pendente),"As consultas dela (cupom, desconto) são as mesmas da dona de barato."
VCP,top-5-melhores-estacionamentos-aeroporto-viracopos,Top 5 melhores estacionamentos aeroporto viracopos,11,"melhor, comparativo",absorver,/blog/quais-os-melhores-estacionamentos-do-aeroporto-viracopos-em-2024/,Léo,definido em 28/08/2026 (revisão do Diego pendente),301 no ar desde 15/08.
VCP,qual-o-valor-da-diaria-do-estacionamento-no-aeroporto-viracopos-2024,Qual o valor da diária do estacionamento no Aeroporto Viracopos em 2024?,8,"preço, valor, diária",absorver,/blog/estacionamento-aeroporto-viracopos-vcp-guia-completo-com-precos-opcoes-e-a-melhor-escolha-economica/,Léo,definido em 28/08/2026 (revisão do Diego pendente),
VCP,guia-completo-descubra-o-melhor-do-aeroporto-viracopos,Guia Completo: Descubra o melhor do Aeroporto Viracopos,6,guia do aeroporto,manter,,Léo,definido em 28/08/2026 (revisão do Diego pendente),"Guia do aeroporto, não é consulta de estacionamento."
VCP,guia-completo-estacionamento-aeroporto-viracopos-2026-precos-seguranca-e-economia,"Guia Completo Estacionamento Aeroporto Viracopos 2026: Preços, Segurança e Economia",6,"preço, valor, diária",absorver,/blog/estacionamento-aeroporto-viracopos-vcp-guia-completo-com-precos-opcoes-e-a-melhor-escolha-economica/,Léo,definido em 28/08/2026 (revisão do Diego pendente),Quase gêmeo da dona de preço (só captura a variante 'preço 2026'). A dona herda o dado de 2026 na atualização.
VCP,onde-estacionar-meu-carro-em-aeroporto-viracopos-em-2024,Onde estacionar meu carro em Aeroporto Viracopos em 2024?,3,"proximidade, perto, onde deixar",absorver,/blog/onde-deixar-o-carro-estacionado-em-viracopos/,Léo,definido em 28/08/2026 (revisão do Diego pendente),
VCP,preco-estacionamento-aeroporto-viracopos-saiba-tudo-aqui,Preço Estacionamento Aeroporto Viracopos: Saiba Tudo Aqui!,3,"preço, valor, diária",absorver,/blog/estacionamento-aeroporto-viracopos-vcp-guia-completo-com-precos-opcoes-e-a-melhor-escolha-economica/,Léo,definido em 28/08/2026 (revisão do Diego pendente),REAPONTAR: desde 15/08 o 301 vai para a dona de barato; a intenção é preço. Corrigir na execução (Conteúdo 19).
VCP,qual-e-o-melhor-estacionamento-aeroporto-viracopos-2022,Qual é o melhor estacionamento Aeroporto Viracopos 2022?,2,"melhor, comparativo",absorver,/blog/quais-os-melhores-estacionamentos-do-aeroporto-viracopos-em-2024/,Léo,definido em 28/08/2026 (revisão do Diego pendente),301 no ar desde 15/08.
VCP,como-reservar-vaga-no-estacionamento-do-aeroporto-de-viracopos,Como reservar vaga no Estacionamento do Aeroporto de Viracopos?,1,"reserva, como funciona",absorver,/blog/estacionamento-aeroporto-viracopos-como-reservar-antecipadamente-e-garantir-sua-vaga/,Léo,definido em 28/08/2026 (revisão do Diego pendente),
VCP,como-reservar-um-estacionamento-com-pagamento-antecipado,Como Reservar um Estacionamento com Pagamento Antecipado,0,"reserva, genérico",manter,,Léo,definido em 28/08/2026 (revisão do Diego pendente),Sem aeroporto no termo; não disputa praça.
VCP,qual-e-o-valor-da-diaria-estacionamento-aeroporto-viracopos,Qual é o valor da diária estacionamento Aeroporto Viracopos?,0,"preço, valor, diária",absorver,/blog/estacionamento-aeroporto-viracopos-vcp-guia-completo-com-precos-opcoes-e-a-melhor-escolha-economica/,Léo,definido em 28/08/2026 (revisão do Diego pendente),
VCP,como-pagar-menos-no-estacionamento-do-aeroporto-campinas,Como pagar menos no estacionamento do Aeroporto Campinas?,0,"barato, economia, desconto",absorver,/blog/como-pagar-mais-barato-no-estacionamento-do-aeroporto-viracopos-em-2024/,Léo,definido em 28/08/2026 (revisão do Diego pendente),"Mesma pergunta da dona, na variante 'Campinas'."
VCP,viracopos-para-iniciantes-guia-para-uma-viagem-tranquila-e-sem-estresse,Viracopos para iniciantes: Guia para uma viagem tranquila e sem estresse,0,guia do aeroporto,absorver,/blog/guia-completo-descubra-o-melhor-do-aeroporto-viracopos/,Léo,definido em 28/08/2026 (revisão do Diego pendente),
VCP,top-3-estacionamentos-do-aeroporto-de-viracopos,TOP 3 Estacionamentos do Aeroporto de Viracopos,0,"melhor, comparativo",absorver,/blog/quais-os-melhores-estacionamentos-do-aeroporto-viracopos-em-2024/,Léo,definido em 28/08/2026 (revisão do Diego pendente),301 no ar desde 15/08.
VCP,quanto-custa-para-estacionar-no-aeroporto-viracopos,Quanto custa para estacionar no Aeroporto Viracopos,0,"preço, valor, diária",absorver,/blog/estacionamento-aeroporto-viracopos-vcp-guia-completo-com-precos-opcoes-e-a-melhor-escolha-economica/,Léo,definido em 28/08/2026 (revisão do Diego pendente),REAPONTAR: desde 15/08 o 301 vai para a dona de barato; a intenção é preço. Corrigir na execução (Conteúdo 19).
CNF,top-3-estacionamentos-do-aeroporto-de-confins,TOP 3 Estacionamentos do Aeroporto de Confins,209,"melhor, comparativo",manter,,Léo,definido em 28/08/2026 (revisão do Diego pendente),Dona do melhor em CNF (209 cliques); hoje segura também as consultas de barato. Sem parceiro no sistema: zero promessa de reserva (ADR-009).
CNF,guia-completo-dos-estacionamentos-proximos-ao-aeoroporto-de-confins,Guia Completo dos Estacionamentos Próximos ao Aeroporto de Confins,43,"proximidade, perto, onde deixar",manter,,Léo,definido em 28/08/2026 (revisão do Diego pendente),Dona de PROXIMIDADE. O typo 'aeoroporto' fica: slug publicado nunca muda.
CNF,tudo-sobre-o-aeroporto-de-confins-guia-completo,Tudo sobre o Aeroporto de Confins: Guia Completo,39,guia do aeroporto,manter,,Léo,definido em 28/08/2026 (revisão do Diego pendente),"Guia do aeroporto. As donas de preço e de barato de CNF não existem e serão criadas (Conteúdos 10 e 14), destravadas pelo cadastro do Be Park (Conteúdo 01)."
GRU,guia-atualizado-5-melhores-opcoes-de-estacionamento-no-aeroporto-guarulhos-em-2024,Guia Atualizado: 5 melhores opções de estacionamento no Aeroporto Guarulhos em 2024,198,"melhor, comparativo",manter,,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),Dona do melhor; alvo de 9 redirects.
GRU,estacionamento-proximo-do-aeroporto-guarulhos-as-melhores-opcoes,Estacionamento próximo ao Aeroporto Guarulhos: as opções e o tempo real,69,"proximidade, perto, onde deixar",manter,,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),Dona de PROXIMIDADE; 3.040 palavras.
GRU,preco-estacionamento-aeroporto-guarulhos-saiba-tudo-aqui,Preço do estacionamento no Aeroporto de Guarulhos em 2026,59,"preço, valor, diária",manter,,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),Dona de PREÇO; expandida a 3.417 palavras em 27/08.
GRU,melhor-estacionamento-aeroporto-guarulhos-guia-completo-para-escolher-com-seguranca-economia-e-conforto,"Melhor Estacionamento Aeroporto Guarulhos: Guia Completo para Escolher com Segurança, Economia e Conforto",34,"melhor, comparativo",absorver,/blog/guia-atualizado-5-melhores-opcoes-de-estacionamento-no-aeroporto-guarulhos-em-2024/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 15/08.
GRU,qual-e-o-valor-da-diaria-estacionamento-aeroporto-guarulhos,Qual é o valor da diária do Estacionamento Aeroporto Guarulhos?,32,"preço, valor, diária",absorver,/blog/preco-estacionamento-aeroporto-guarulhos-saiba-tudo-aqui/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,estacionamento-aeroporto-guarulhos-gru-economia-recorde-seguranca-e-translado-gratuito-com-a-move-park,"Estacionamento Aeroporto Guarulhos (GRU): Economia Recorde, Segurança e Translado Gratuito com a Move Park",25,"barato, economia, desconto",absorver,/blog/como-estacionar-barato-no-aeroporto-de-guarulhos/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,estacionamento-gru-airport-guia-completo-para-parar-seu-carro-com-tranquilidade,Estacionamento GRU Airport: Guia Completo para Parar seu Carro com Tranquilidade,20,"marca do aeroporto, terminal",manter,,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),Candidata a hospedar o cluster de terminal e setor.
GRU,guia-completo-sobre-o-aeroporto-de-guarulhos,Guia Completo sobre o Aeroporto de Guarulhos,20,guia do aeroporto,manter,,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),
GRU,onde-estacionar-o-carro-no-aeroporto-de-guarulhos,Onde Estacionar o Carro no Aeroporto de Guarulhos,18,"proximidade, perto, onde deixar",absorver,/blog/estacionamento-proximo-do-aeroporto-guarulhos-as-melhores-opcoes/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,as-melhores-estrategias-para-economizar-no-estacionamento-do-aeroporto-de-guarulhos,As Melhores Estratégias para Economizar no Estacionamento do Aeroporto de Guarulhos,13,"barato, economia, desconto",absorver,/blog/como-estacionar-barato-no-aeroporto-de-guarulhos/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,valor-de-diaria-estacionamento-aeroporto-guarulhos,TOP 3 Estacionamentos Próximos ao Aeroporto de Guarulhos,10,"preço, valor, diária",absorver,/blog/guia-atualizado-5-melhores-opcoes-de-estacionamento-no-aeroporto-guarulhos-em-2024/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),"REVISAR (Léo, 28/08): slug de preço apontando para a dona de melhor desde 15/08; candidato a reapontar para a dona de preço."
GRU,qual-e-o-preco-medio-do-estacionamento-no-aeroporto-guarulhos,Qual é o preço médio do estacionamento no aeroporto Guarulhos?,9,"preço, valor, diária",absorver,/blog/preco-estacionamento-aeroporto-guarulhos-saiba-tudo-aqui/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 15/08.
GRU,conheca-os-5-principais-estacionamentos-no-aeroporto-de-guarulhos-em-2023,Conheça os 5 principais estacionamentos no Aeroporto de Guarulhos em 2023,5,"melhor, comparativo",absorver,/blog/guia-atualizado-5-melhores-opcoes-de-estacionamento-no-aeroporto-guarulhos-em-2024/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,melhores-opcoes-de-estacionamento-gru-airport,Melhores Opções de Estacionamento GRU Airport,5,"melhor, comparativo",absorver,/blog/guia-atualizado-5-melhores-opcoes-de-estacionamento-no-aeroporto-guarulhos-em-2024/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 15/08.
GRU,qual-o-valor-da-diaria-do-estacionamento-no-aeroporto-guarulhos,Qual o valor da diária do estacionamento no Aeroporto Guarulhos?,4,"preço, valor, diária",absorver,/blog/preco-estacionamento-aeroporto-guarulhos-saiba-tudo-aqui/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,onde-deixar-meu-carro-em-aeroporto-guarulhos,Onde deixar meu carro em Aeroporto Guarulhos?,4,"proximidade, perto, onde deixar",absorver,/blog/estacionamento-proximo-do-aeroporto-guarulhos-as-melhores-opcoes/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,seu-guia-definitivo-para-uma-partida-descomplicada-dicas-valiosas-do-aeroporto-de-guarulhos,Seu Guia Definitivo para uma Partida Descomplicada: Dicas Valiosas do Aeroporto de Guarulhos,4,guia do aeroporto,absorver,/blog/guia-completo-sobre-o-aeroporto-de-guarulhos/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,como-pagar-mais-barato-no-estacionamento-do-aeroporto-guarulhos,Como pagar mais barato no estacionamento do Aeroporto Guarulhos?,4,"preço, valor, diária",absorver,/blog/preco-estacionamento-aeroporto-guarulhos-saiba-tudo-aqui/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 15/08.
GRU,como-encontrar-o-melhor-estacionamento-no-aeroporto-de-guarulhos,Como encontrar o melhor estacionamento no aeroporto de Guarulhos,3,"melhor, comparativo",absorver,/blog/guia-atualizado-5-melhores-opcoes-de-estacionamento-no-aeroporto-guarulhos-em-2024/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 15/08.
GRU,como-estacionar-barato-no-aeroporto-de-guarulhos,Como estacionar barato no Aeroporto de Guarulhos,1,"barato, economia, desconto",manter,,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),Dona de BARATO; 3.073 palavras.
GRU,estacionamento-perto-do-aeroporto-de-guarulhos-reserve-online,Estacionamento perto do Aeroporto de Guarulhos - Reserve online,1,"proximidade, perto, onde deixar",absorver,/blog/estacionamento-proximo-do-aeroporto-guarulhos-as-melhores-opcoes/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,dicas-de-viagem-encontre-o-estacionamento-perfeito-perto-do-aeroporto-de-guarulhos-com-o-movepark,Dicas de Viagem: Encontre o Estacionamento Perfeito perto do Aeroporto de Guarulhos com o MovePark,1,"proximidade, perto, onde deixar",absorver,/blog/estacionamento-proximo-do-aeroporto-guarulhos-as-melhores-opcoes/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,os-beneficios-de-ir-de-carro-para-o-aeroporto-de-guarulhos-em-2024,Os Benefícios de Ir de Carro para o Aeroporto de Guarulhos em 2024,1,guia do aeroporto,absorver,/blog/guia-completo-sobre-o-aeroporto-de-guarulhos/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,estacionamento-aeroporto-guarulhos-veja-o-preco-dos-principais-estacionamentos,Estacionamento Aeroporto Guarulhos: veja o preço dos principais estacionamentos,1,"preço, valor, diária",absorver,/blog/preco-estacionamento-aeroporto-guarulhos-saiba-tudo-aqui/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 15/08.
GRU,estacionamento-aeroporto-guarulhos-seguranca-do-seu-veiculo-e-prioridade,Estacionamento Aeroporto Guarulhos: segurança do seu veículo é prioridade,0,segurança e prova social,manter,,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),
GRU,aeropark-descubra-se-o-estacionamento-aeroporto-gru-oferece-vagas-cobertas,Aeropark: Descubra se o Estacionamento Aeroporto GRU Oferece Vagas Cobertas,0,vaga coberta,manter,,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),
GRU,case-de-sucesso-aeroparking-movepark,Case de Sucesso: AeroParking & Movepark,0,institucional,manter,,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),
GRU,estacionamento-com-desconto-perto-aeroporto-guarulhos,Como encontrar estacionamento com desconto perto do Aeroporto de Guarulhos,0,"barato, economia, desconto",absorver,/blog/como-estacionar-barato-no-aeroporto-de-guarulhos/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,conheca-o-estacionamento-mais-proximo-do-aeroporto-guarulhos-em-2024-2,Conheça o Estacionamento mais próximo do Aeroporto Guarulhos em 2024,0,"proximidade, perto, onde deixar",absorver,/blog/estacionamento-proximo-do-aeroporto-guarulhos-as-melhores-opcoes/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,encontre-sua-vaga-de-estacionamento-no-aeroporto-de-guarulhos,Encontre sua vaga de Estacionamento no Aeroporto de Guarulhos,0,"proximidade, perto, onde deixar",absorver,/blog/estacionamento-proximo-do-aeroporto-guarulhos-as-melhores-opcoes/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,vantagens-de-reservar-seu-estacionamento-proximo-ao-gru-airport-com-a-movepark,Vantagens de reservar seu estacionamento próximo ao Gru Airport com a Movepark,0,"melhor, comparativo",absorver,/blog/guia-atualizado-5-melhores-opcoes-de-estacionamento-no-aeroporto-guarulhos-em-2024/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,como-evitar-problemas-no-estacionamento-do-aeroporto-guarulhos,Como evitar problemas no estacionamento do Aeroporto Guarulhos,0,segurança e prova social,absorver,/blog/estacionamento-aeroporto-guarulhos-seguranca-do-seu-veiculo-e-prioridade/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,5-dicas-para-transformar-sua-escala-no-aeroporto-guarulhos-em-uma-aventura-inesquecivel,5 Dicas para Transformar sua Escala no Aeroporto Guarulhos em Uma Aventura Inesquecível!,0,guia do aeroporto,absorver,/blog/guia-completo-sobre-o-aeroporto-de-guarulhos/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
GRU,qual-o-melhor-estacionamento-no-aeroporto-de-guarulhos-em-2024,Qual o Melhor Estacionamento no Aeroporto de Guarulhos em 2024?,0,"melhor, comparativo",absorver,/blog/guia-atualizado-5-melhores-opcoes-de-estacionamento-no-aeroporto-guarulhos-em-2024/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 15/08.
GRU,qual-e-o-melhor-estacionamento-aeroporto-guarulhos-2023,Qual é o melhor estacionamento Aeroporto Guarulhos 2023?,0,"melhor, comparativo",absorver,/blog/guia-atualizado-5-melhores-opcoes-de-estacionamento-no-aeroporto-guarulhos-em-2024/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 15/08.
GRU,melhor-estacionamento-aeroporto-guarulhos-2022,Melhor estacionamento Aeroporto Guarulhos 2022,0,"melhor, comparativo",absorver,/blog/guia-atualizado-5-melhores-opcoes-de-estacionamento-no-aeroporto-guarulhos-em-2024/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 15/08.
CWB,preco-estacionamento-aeroporto-afonso-pena-curitiba-saiba-tudo-aqui,Preço Estacionamento Aeroporto Afonso Pena Curitiba: Saiba Tudo Aqui!,891,"preço, valor, diária",absorver,/blog/quanto-custa-um-estacionamento-do-aeroporto-afonso-pena/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),"301 no ar desde 15/08. REVISAR: era a 2ª página mais clicada do blog inteiro (891 cliques, posição 9,2) e foi absorvida por uma dona de 1 clique."
CWB,top-3-estacionamentos-do-aeroporto-de-curitiba,TOP 3 Estacionamentos do Aeroporto de Curitiba,359,"melhor, comparativo",absorver,/blog/aeroporto-afonso-pena-5-melhores-opcoes-de-estacionamento-em-2024/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),"301 no ar desde 15/08. REVISAR: 359 cliques e posição 8,9 absorvidos por uma dona de 28 cliques."
CWB,aeroporto-afonso-pena-5-melhores-opcoes-de-estacionamento-em-2024,Aeroporto Afonso Pena: 5 melhores opções de estacionamento em 2024,28,"melhor, comparativo",manter,,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),"Dona do melhor. REVISAR (Léo, 28/08): o top-3 absorvido tinha 359 cliques e posição 8,9 contra 28 e posição 17,5 da dona."
CWB,estacionamento-barato-aeroporto-curitiba,Estacionamento barato no aeroporto de Curitiba: o que funciona,18,"barato, economia, desconto",manter,,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),Dona de BARATO; 3.114 palavras.
CWB,aeroporto-afonso-pena-confira-o-guia-completo-para-sua-viagem,Aeroporto Afonso Pena: Confira o guia completo para sua viagem!,11,guia do aeroporto,manter,,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),
CWB,conheca-o-estacionamento-mais-proximo-do-aeroporto-afonso-pena-em-2024,O estacionamento mais próximo do Aeroporto Afonso Pena,9,"proximidade, perto, onde deixar",manter,,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),Dona de PROXIMIDADE; 3.025 palavras.
CWB,estacionamento-aeroporto-curitiba-cwb-a-solucao-economica-e-segura-com-a-move-park,Estacionamento Aeroporto Curitiba (CWB): A Solução Econômica e Segura com a Move Park,4,"barato, economia, desconto",absorver,/blog/estacionamento-barato-aeroporto-curitiba/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
CWB,quanto-custa-um-estacionamento-do-aeroporto-afonso-pena,Quanto custa um estacionamento do Aeroporto Afonso Pena,1,"preço, valor, diária",manter,,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),"Dona de PREÇO; 3.120 palavras. REVISAR (Léo, 28/08): o slug absorvido preco-estacionamento-aeroporto-afonso-pena-curitiba-saiba-tudo-aqui tinha 891 cliques e posição 9,2 contra 1 clique e posição 36 da dona; candidato a inverter."
CWB,5-maneiras-inteligentes-de-economizar-no-aeroporto-afonso-pena,Dominando o Estacionamento do Aeroporto: Descubra 5 Maneiras Inteligentes de Economizar no Aeroporto Afonso Pena,0,"barato, economia, desconto",absorver,/blog/estacionamento-barato-aeroporto-curitiba/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
CWB,estacionamento-aeroporto-curitiba-alternativas-economicas-e-servicos-de-transporte,Estacionamento Aeroporto Curitiba: Alternativas Econômicas e Serviços de Transporte,0,"barato, economia, desconto",absorver,/blog/estacionamento-barato-aeroporto-curitiba/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
CWB,5-vantagens-de-estacionar-no-aeroporto-de-curitiba,5 Vantagens de Estacionar no Aeroporto de Curitiba,0,"melhor, comparativo",absorver,/blog/aeroporto-afonso-pena-5-melhores-opcoes-de-estacionamento-em-2024/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
CWB,facilidade-e-conforto-estacionamento-aeroporto-curitiba-cwb,Facilidade e Conforto: Estacionamento Aeroporto Curitiba CWB,0,"melhor, comparativo",absorver,/blog/aeroporto-afonso-pena-5-melhores-opcoes-de-estacionamento-em-2024/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 27/08.
CWB,qual-o-melhor-estacionamento-no-aeroporto-afonso-pena-em-2024,Qual o melhor estacionamento no aeroporto Afonso Pena em 2024?,0,"melhor, comparativo",absorver,/blog/aeroporto-afonso-pena-5-melhores-opcoes-de-estacionamento-em-2024/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 15/08.
CWB,estacionamento-no-aeroporto-de-afonso-pena-a-melhor-opcao-para-sua-viagem,Estacionamento no Aeroporto de Afonso Pena: A Melhor Opção para sua Viagem,0,"melhor, comparativo",absorver,/blog/aeroporto-afonso-pena-5-melhores-opcoes-de-estacionamento-em-2024/,Diego,aplicado em 27/08/2026 (revisado pelo Léo em 28/08),301 no ar desde 15/08.
CGH,top-3-estacionamentos-do-aeroporto-de-congonhas,TOP 3 Estacionamentos do Aeroporto de Congonhas,513,-,manter,,-,fora da onda 1,Entra na Fase 5 de escala nacional.
CGH,guia-completo-dos-estacionamentos-proximos-ao-aeroporto-de-congonhas,Guia Completo dos Estacionamentos Próximos ao Aeroporto de Congonhas,32,-,manter,,-,fora da onda 1,Entra na Fase 5 de escala nacional.
CGH,aeroporto-de-congonhas-informacoes-completas,Aeroporto de Congonhas: Informações Completas!,6,-,manter,,-,fora da onda 1,Entra na Fase 5 de escala nacional.
